audit,strategy,model,metric,value,ci_low,ci_high,n
compas,in_processing,random_forest,auc,0.5965032443439859,,,3254
compas,in_processing,random_forest,f1,0.2135007849293564,0.18740703352427457,0.2416398944274086,3254
compas,in_processing,gradient_boosting,accuracy,0.5396435156730178,0.5212046711739398,0.5560925015365704,3254
compas,in_processing,gradient_boosting,auc,0.5781288134563888,,,3254
compas,in_processing,gradient_boosting,f1,0.20572640509013787,0.18203267091418307,0.23304735792132233,3254
compas,post_processing,logistic_regression,accuracy,0.5565457897971727,0.5397894898586355,0.5742547633681623,3254
compas,post_processing,logistic_regression,auc,,,,3254
compas,post_processing,logistic_regression,f1,0.6086248982912937,0.5894339253148038,0.6260826168877122,3254
compas,post_processing,random_forest,accuracy,0.5626920712968654,0.5459357713583282,0.5792870313460357,3254
compas,post_processing,random_forest,auc,,,,3254
compas,post_processing,random_forest,f1,0.610670314637483,0.5924324460938317,0.6287263176151358,3254
compas,post_processing,gradient_boosting,accuracy,0.5626920712968654,0.5460817455439458,0.5792870313460357,3254
compas,post_processing,gradient_boosting,auc,,,,3254
compas,post_processing,gradient_boosting,f1,0.6104571584998632,0.5913691496587637,0.6289950462381226,3254
german_credit_lending,baseline,logistic_regression,accuracy,0.68,0.615,0.735,200
german_credit_lending,baseline,logistic_regression,auc,0.7326190476190475,,,200
german_credit_lending,baseline,logistic_regression,f1,0.7837837837837838,0.7279151943462897,0.8308862576634143,200
german_credit_lending,baseline,random_forest,accuracy,0.75,0.692375,0.8026249999999999,200
german_credit_lending,baseline,random_forest,auc,0.7945833333333334,,,200
german_credit_lending,baseline,random_forest,f1,0.8366013071895425,0.7924793197200208,0.8780814277746793,200
german_credit_lending,baseline,gradient_boosting,accuracy,0.77,0.715,0.8226249999999998,200
german_credit_lending,baseline,gradient_boosting,auc,0.7736904761904762,,,200
german_credit_lending,baseline,gradient_boosting,f1,0.8456375838926175,0.8020465862098067,0.8842617866004964,200
german_credit_lending,unawareness,logistic_regression,accuracy,0.68,0.60975,0.7452499999999997,200
german_credit_lending,unawareness,logistic_regression,auc,0.7455952380952381,,,200
german_credit_lending,unawareness,logistic_regression,f1,0.7837837837837838,0.7204028268551236,0.8325033786105321,200
german_credit_lending,unawareness,random_forest,accuracy,0.75,0.692375,0.805,200
german_credit_lending,unawareness,random_forest,auc,0.7894047619047619,,,200
german_credit_lending,unawareness,random_forest,f1,0.8376623376623377,0.7915194346289752,0.8769693985759732,200
german_credit_lending,unawareness,gradient_boosting,accuracy,0.765,0.71,0.8276249999999998,200
german_credit_lending,unawareness,gradient_boosting,auc,0.7722619047619047,,,200
german_credit_lending,unawareness,gradient_boosting,f1,0.8395904436860069,0.7971766667496205,0.8835118479935441,200
german_credit_lending,unawareness_proxy_removal,logistic_regression,accuracy,0.705,0.64,0.7676249999999999,200
german_credit_lending,unawareness_proxy_removal,logistic_regression,auc,0.7473809523809524,,,200
german_credit_lending,unawareness_proxy_removal,logistic_regression,f1,0.7986348122866893,0.744949842245773,0.8482015368684942,200
german_credit_lending,unawareness_proxy_removal,random_forest,accuracy,0.75,0.69,0.805,200
german_credit_lending,unawareness_proxy_removal,random_forest,auc,0.7901785714285714,,,200
german_credit_lending,unawareness_proxy_removal,random_forest,f1,0.8322147651006712,0.7831963001027749,0.8709904113439735,200
german_credit_lending,unawareness_proxy_removal,gradient_boosting,accuracy,0.76,0.702375,0.8176249999999998,200
german_credit_lending,unawareness_proxy_removal,gradient_boosting,auc,0.7666666666666668,,,200
german_credit_lending,unawareness_proxy_removal,gradient_boosting,f1,0.8378378378378378,0.7923068015602145,0.8810883330339501,200
german_credit_lending,in_processing,logistic_regression,accuracy,0.7,0.62,0.76,200
german_credit_lending,in_processing,logistic_regression,auc,0.6042261904761905,,,200
german_credit_lending,in_processing,logistic_regression,f1,0.8051948051948051,0.7406061771113674,0.8523290161326971,200
german_credit_lending,in_processing,random_forest,accuracy,0.71,0.645,0.7626249999999999,200
german_credit_lending,in_processing,random_forest,auc,0.6614285714285714,,,200
german_credit_lending,in_processing,random_forest,f1,0.8104575163398692,0.7573412940173023,0.8504892966360856,200
german_credit_lending,in_processing,gradient_boosting,accuracy,0.755,0.695,0.8,200
german_credit_lending,in_processing,gradient_boosting,auc,0.7070238095238095,,,200
german_credit_lending,in_processing,gradient_boosting,f1,0.8350168350168351,0.7871835502735334,0.8726468679000324,200
german_credit_lending,post_processing,logistic_regression,accuracy,0.715,0.637375,0.78,200
german_credit_lending,post_processing,logistic_regression,auc,,,,200
german_credit_lending,post_processing,logistic_regression,f1,0.8,0.7368421052631579,0.8492237442922375,200
german_credit_lending,post_processing,random_forest,accuracy,0.7,0.637375,0.765,200
german_credit_lending,post_processing,random_forest,auc,,,,200
german_credit_lending,post_processing,random_forest,f1,0.7972972972972971,0.7414129273504274,0.8485072652529609,200
german_credit_lending,post_processing,gradient_boosting,accuracy,0.745,0.675,0.795,200
german_credit_lending,post_processing,gradient_boosting,auc,,,,200
